scenario,n_seeds,n_blocks_used,running_mean_RE_delay_pct,SE_pct,ci95_halfwidth_pct,enough_data,tol_pass,drift_pass,trend_pass,overall_pass
"S1 (nominal, kappa=1.0)",700,70,3.202370812435277,0.030979967202287528,0.06072073571648355,True,True,True,True,True
"S1 (nominal, kappa=1.0)",710,71,3.194339519212849,0.03157886305264337,0.061894571583181,True,True,True,True,True
"S1 (nominal, kappa=1.0)",720,72,3.194320213685093,0.031137184864696667,0.06102888233480547,True,True,True,True,True
"S1 (nominal, kappa=1.0)",730,73,3.192422635961448,0.030766260309613568,0.06030187020684259,True,True,True,True,True
"S1 (nominal, kappa=1.0)",740,74,3.196023347747313,0.03056051572115986,0.05989861081347333,True,True,True,True,True
"S1 (nominal, kappa=1.0)",750,75,3.187279524716907,0.031392584460343986,0.06152946554227421,True,True,True,True,True
"S1 (nominal, kappa=1.0)",760,76,3.183808999136324,0.031170576587925623,0.06109433011233422,True,True,True,True,True
"S1 (nominal, kappa=1.0)",770,77,3.1842043675633414,0.030765641087760184,0.06030065653200996,True,True,True,True,True
"S1 (nominal, kappa=1.0)",780,78,3.1865986916770503,0.03046288883427708,0.059707262115183075,True,True,True,True,True
"S1 (nominal, kappa=1.0)",790,79,3.1880863902701613,0.030111583923291524,0.05901870448965139,True,True,True,True,True
"S1 (nominal, kappa=1.0)",800,80,3.181774495486792,0.030395391344190822,0.05957496703461401,True,True,True,True,True
"S1 (nominal, kappa=1.0)",810,81,3.1806864881424115,0.030037505350225275,0.05887351048644154,True,True,True,True,True
"S1 (nominal, kappa=1.0)",820,82,3.1762777873323658,0.029994703379066255,0.05878961862296986,True,True,True,True,True
"S1 (nominal, kappa=1.0)",830,83,3.1765198560742895,0.02963210654299208,0.05807892882426448,True,True,True,True,True
"S1 (nominal, kappa=1.0)",840,84,3.179171453541273,0.029397048753928203,0.057618215557699276,True,True,True,True,True
"S1 (nominal, kappa=1.0)",850,85,3.178168182727654,0.029066462260553056,0.05697026603068399,True,True,True,True,True
"S1 (nominal, kappa=1.0)",860,86,3.1779482692729406,0.028727333695288525,0.05630557404276551,True,True,True,True,True
"S1 (nominal, kappa=1.0)",870,87,3.177133240757159,0.028406909112699302,0.055677541860890634,True,True,True,True,True
"S1 (nominal, kappa=1.0)",880,88,3.1736153201846466,0.028301738838443377,0.05547140812334902,True,True,True,True,True
"S1 (nominal, kappa=1.0)",890,89,3.17486716483594,0.028009923179230484,0.05489944943129175,True,True,True,True,True
"S1 (nominal, kappa=1.0)",900,90,3.179475448749128,0.02807770474727667,0.05503230130466227,True,True,True,True,True
"S1 (nominal, kappa=1.0)",910,91,3.1776414727845843,0.02782794338730511,0.05454276903911801,True,True,True,True,True
"S1 (nominal, kappa=1.0)",920,92,3.1756593227115646,0.027595084534902975,0.054086365688409827,True,True,True,True,True
"S1 (nominal, kappa=1.0)",930,93,3.1770143682748504,0.027330362933856225,0.0535675113503582,True,True,True,True,True
"S1 (nominal, kappa=1.0)",940,94,3.1771400382103607,0.02703834323116931,0.05299515273309184,True,True,True,True,True
"S1 (nominal, kappa=1.0)",950,95,3.171789491419786,0.027282033759826248,0.05347278616925945,True,True,True,True,True
"S1 (nominal, kappa=1.0)",960,96,3.176024749726864,0.02732654998117142,0.05356003796309598,True,True,True,True,True
"S1 (nominal, kappa=1.0)",970,97,3.173572422656047,0.027154328090026592,0.05322248305645212,True,True,True,True,True
"S1 (nominal, kappa=1.0)",980,98,3.1723394315295006,0.02690408311390205,0.05273200290324802,True,True,True,True,True
"S1 (nominal, kappa=1.0)",990,99,3.1757082527598617,0.026843170876370875,0.052612614917686915,True,True,True,True,True
"S1 (nominal, kappa=1.0)",1000,100,3.172474613783599,0.0267694065543652,0.052468036846555786,True,True,True,True,True
"S2 (weak UAV-HAP link, kappa=1.0)",10,1,3.4471891226269653,,,False,False,False,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",20,2,3.223715133326607,0.2234739893003581,0.4380090190287019,False,False,False,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",30,3,3.109822518928926,0.17209997747126857,0.3373159558436864,False,False,False,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",40,4,2.898601583534797,0.24376932676523586,0.47778788045986226,False,False,True,False,False
"S2 (weak UAV-HAP link, kappa=1.0)",50,5,2.81647997909536,0.20590786463526145,0.40357941468511244,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",60,6,2.7470046644092743,0.1819125756047837,0.356548648185376,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",70,7,2.7545991672383434,0.15393164583596183,0.3017060258384852,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",80,8,2.8215764945857504,0.1491883912069828,0.29240924676568625,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",90,9,2.8638711611185377,0.13820266191783204,0.27087721735895076,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",100,10,2.8675456051875274,0.12366681910745418,0.2423869654506102,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",110,11,2.877624641807944,0.11231400629264811,0.22013545233359028,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",120,12,2.8878743944296077,0.10303925192239183,0.20195693376788798,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",130,13,2.832975314396741,0.10953354900665185,0.21468575605303764,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",140,14,2.824523591350739,0.10175994967504923,0.19944950136309647,False,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",150,15,2.8516564849473784,0.09854239168201995,0.19314308769675909,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",160,16,2.851532143143222,0.0921780508011279,0.18066897957021066,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",170,17,2.8430045844852847,0.08700511246159354,0.17053002042472332,True,False,True,True,False
"S2 (weak UAV-HAP link, kappa=1.0)",180,18,2.8184077149231013,0.08563758954387571,0.1678496755059964,True,False,True,True,False
