alpha,W1_U_s,W2_U_s,W3_U_s,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,rho_U_reference_line
0.1585427135678392,0.06357896487720968,0.07170573340045883,0.105567523786266,0.19257758001998648,0.3103987818259621,0.5654344861310464,0.34000496771421973,0.1802025018388388,0.9549266537236236
0.1630653266331658,0.06427808381211605,0.07254432272143368,0.10708339494166469,0.19365947248504245,0.31200291820723614,0.5684814514070434,0.3418422806589378,0.1802025018388388,0.9821670337030612
0.16758793969849245,0.06498879863228658,0.07339771994206845,0.10863239621992615,0.19475712016137686,0.3136301811401987,0.5715781841099605,0.34369955836852456,0.1802025018388388,1.009407413682499
0.1721105527638191,0.06571136722696397,0.07426627601914443,0.11021550729807528,0.19587084910321118,0.3152810579115885,0.5747259365767373,0.34557712803487767,0.1802025018388388,1.036647793661937
0.17663316582914573,0.06644605469520726,0.07515035237641365,0.11183374459917511,0.19700099407225724,0.31695604927046334,0.5779260038810483,0.34747532403873116,0.1802025018388388,1.0638881736413748
0.18115577889447237,0.06719313358914734,0.07605032128172504,0.11348816297055503,0.19814789882233275,0.3186556698880455,0.5811797256769698,0.349394488148181,0.1802025018388388,1.0911285536208126
0.18567839195979902,0.06795288416687194,0.07696656624011064,0.11517985745276166,0.19931191639498347,0.3203804488362834,0.5844884881388811,0.35133496972382655,0.1802025018388388,1.1183689336002505
0.1902010050251256,0.0687255946553792,0.07789948240360953,0.1169099651449208,0.2004934094266072,0.3221309300860152,0.587853726003506,0.35329712593078555,0.1802025018388388,1.1456093135796879
0.19472361809045224,0.06951156152406,0.07884947699864842,0.1186796671726012,0.20169275046759394,0.3239076730256659,0.5912769247204102,0.355281321957854,0.1802025018388388,1.1728496935591257
0.19924623115577889,0.07031108976919423,0.07981696977184588,0.12049019076471346,0.20291032231402778,0.32571125300146264,0.5947596227177209,0.35728793124409214,0.1802025018388388,1.2000900735385633
0.20376884422110553,0.07112449320997,0.08080239345515339,0.12234281144645043,0.20414651835252062,0.3275422618802043,0.5983034137903261,0.35931733571313407,0.1802025018388388,1.2273304535180012
