scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S1 (nominal, kappa=1.0)",72,10,3.055797039859013,0.852248752285659
"S1 (nominal, kappa=1.0)",73,10,3.458875308115457,0.8194978143417119
"S1 (nominal, kappa=1.0)",74,10,2.540236620466861,0.7103720831690616
"S1 (nominal, kappa=1.0)",75,10,2.923519580592604,0.7826587309945368
"S1 (nominal, kappa=1.0)",76,10,3.214252368016635,1.044541210784006
"S1 (nominal, kappa=1.0)",77,10,3.370961648432646,0.8296288317383946
"S1 (nominal, kappa=1.0)",78,10,3.3041268805328095,1.0992079514810214
"S1 (nominal, kappa=1.0)",79,10,2.6831348076006614,1.0333953622960284
"S1 (nominal, kappa=1.0)",80,10,3.093645900591996,0.7542533929832251
"S1 (nominal, kappa=1.0)",81,10,2.8191730217186572,0.9478698832420841
"S1 (nominal, kappa=1.0)",82,10,3.196369492912045,0.38012118457049116
"S1 (nominal, kappa=1.0)",83,10,3.3992540433008918,0.6627598791219118
"S1 (nominal, kappa=1.0)",84,10,3.0938934343836215,1.047907844752699
"S1 (nominal, kappa=1.0)",85,10,3.159255625622319,1.0647018333297396
"S1 (nominal, kappa=1.0)",86,10,3.1070407883999414,0.6345404294297008
"S1 (nominal, kappa=1.0)",87,10,2.867556230376094,0.754665224413207
"S1 (nominal, kappa=1.0)",88,10,3.285029494149742,0.7715686910455103
"S1 (nominal, kappa=1.0)",89,10,3.5896127170228618,0.7110283953171782
"S1 (nominal, kappa=1.0)",90,10,3.0125836359756564,0.6543856600296186
"S1 (nominal, kappa=1.0)",91,10,2.9952836660667908,0.8127172528368413
"S1 (nominal, kappa=1.0)",92,10,3.301678560097142,1.0399436454092792
"S1 (nominal, kappa=1.0)",93,10,3.188827342212874,0.9217340162437726
"S1 (nominal, kappa=1.0)",94,10,2.6688380931057774,1.1564077589225372
"S1 (nominal, kappa=1.0)",95,10,3.5783742888991994,0.8756311116871102
"S1 (nominal, kappa=1.0)",96,10,2.9381490238575707,1.2139102383778775
"S1 (nominal, kappa=1.0)",97,10,3.0527392922544867,0.758871302616489
"S1 (nominal, kappa=1.0)",98,10,3.5058527333352183,1.0828093569405837
"S1 (nominal, kappa=1.0)",99,10,2.8523443551335808,0.7994644895726352
"S2 (weak UAV-HAP link, kappa=1.0)",0,10,3.4471891226269653,1.6442628155421104
"S2 (weak UAV-HAP link, kappa=1.0)",1,10,3.000241144026249,1.3353388844879637
"S2 (weak UAV-HAP link, kappa=1.0)",2,10,2.882037290133563,0.9343917423423842
"S2 (weak UAV-HAP link, kappa=1.0)",3,10,2.2649387773524103,1.3671780709211534
"S2 (weak UAV-HAP link, kappa=1.0)",4,10,2.487993561337612,0.6525280266087004
"S2 (weak UAV-HAP link, kappa=1.0)",5,10,2.399628090978843,1.35666939751739
"S2 (weak UAV-HAP link, kappa=1.0)",6,10,2.8001661842127614,1.2535499993507853
"S2 (weak UAV-HAP link, kappa=1.0)",7,10,3.290417786017602,1.7011181192223086
"S2 (weak UAV-HAP link, kappa=1.0)",8,10,3.2022284933808356,1.2940315031511245
"S2 (weak UAV-HAP link, kappa=1.0)",9,10,2.900615601808434,1.9249954699464862
"S2 (weak UAV-HAP link, kappa=1.0)",10,10,2.978415008012115,1.4227176101350463
"S2 (weak UAV-HAP link, kappa=1.0)",11,10,3.0006216732679056,1.3114102524984301
"S2 (weak UAV-HAP link, kappa=1.0)",12,10,2.17418635400234,0.743435133150291
"S2 (weak UAV-HAP link, kappa=1.0)",13,10,2.714651191752713,0.7001342298667261
"S2 (weak UAV-HAP link, kappa=1.0)",14,10,3.2315169953003298,1.503400993439558
"S2 (weak UAV-HAP link, kappa=1.0)",15,10,2.849667016080871,1.6549907613110235
"S2 (weak UAV-HAP link, kappa=1.0)",16,10,2.7065636459582914,0.7084152518569478
"S2 (weak UAV-HAP link, kappa=1.0)",17,10,2.400260932365981,0.8731321426629789
"S2 (weak UAV-HAP link, kappa=1.0)",18,10,2.145880011022741,1.1841822658478636
"S2 (weak UAV-HAP link, kappa=1.0)",19,10,3.1673224425406734,1.7237355220169277
"S2 (weak UAV-HAP link, kappa=1.0)",20,10,3.606245470802526,1.4173047070749603
"S2 (weak UAV-HAP link, kappa=1.0)",21,10,3.849121854311817,1.6232144575125216
"S2 (weak UAV-HAP link, kappa=1.0)",22,10,2.643129008955113,1.0470373713101673
"S2 (weak UAV-HAP link, kappa=1.0)",23,10,2.9540578235863757,1.134293388814148
"S2 (weak UAV-HAP link, kappa=1.0)",24,10,2.961848194016614,1.2478657898319072
"S2 (weak UAV-HAP link, kappa=1.0)",25,10,2.86123676235772,0.8070002328927489
"S2 (weak UAV-HAP link, kappa=1.0)",26,10,2.670675195980513,0.9294656261709784
"S2 (weak UAV-HAP link, kappa=1.0)",27,10,2.561286887916454,0.8373013426375969
"S2 (weak UAV-HAP link, kappa=1.0)",28,10,2.474006212724078,1.2342408255211834
"S2 (weak UAV-HAP link, kappa=1.0)",29,10,3.072787320371179,1.357998551602837
"S2 (weak UAV-HAP link, kappa=1.0)",30,10,3.1169485511495205,1.5441196334754659
"S2 (weak UAV-HAP link, kappa=1.0)",31,10,3.6587013137773754,1.3260715574823387
"S2 (weak UAV-HAP link, kappa=1.0)",32,10,2.559611392824216,1.1947950738724944
"S2 (weak UAV-HAP link, kappa=1.0)",33,10,2.736790180967475,1.2558389006574922
"S2 (weak UAV-HAP link, kappa=1.0)",34,10,2.3606577054616324,1.1581797848583293
"S2 (weak UAV-HAP link, kappa=1.0)",35,10,3.2044737942691413,1.3312537775386601
"S2 (weak UAV-HAP link, kappa=1.0)",36,10,2.607015174527828,1.3276969273418369
"S2 (weak UAV-HAP link, kappa=1.0)",37,10,3.439487124603655,1.513254858506405
"S2 (weak UAV-HAP link, kappa=1.0)",38,10,3.3007438978031964,0.844236453604024
"S2 (weak UAV-HAP link, kappa=1.0)",39,10,3.0214678212440833,1.7175543254197947
"S2 (weak UAV-HAP link, kappa=1.0)",40,10,2.4344333188304015,1.0924199830747958
"S2 (weak UAV-HAP link, kappa=1.0)",41,10,2.2525968635236557,0.847158604185714
"S2 (weak UAV-HAP link, kappa=1.0)",42,10,2.4659251397105004,1.2852523684721302
"S2 (weak UAV-HAP link, kappa=1.0)",43,10,3.5537470446056196,1.052065295232548
"S2 (weak UAV-HAP link, kappa=1.0)",44,10,3.4197243122337566,1.4388558584826816
"S2 (weak UAV-HAP link, kappa=1.0)",45,10,3.4792693437069695,1.4333677163270915
"S2 (weak UAV-HAP link, kappa=1.0)",46,10,3.074211623927618,0.9378921826985813
