kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
4.3,P2,True,0.35,1.2,1.0,1.0,1.0,0.35592854383795347,0.5749268614176977,11.985549955515008,0.9703014973974828,0.9685884473837583,1.0,0.40126658753929223,1.1810535365711905,0.9373238926751628,0.9625237606425039,12.276247629933613,0.9404921847705892,1000
4.3,P3,True,0.35,1.2,1.0,1.0,0.75,0.30218698947466466,0.49553200423126564,1.846991229643777,0.8085845811645691,0.8071570394864651,1.0,0.5504942383228477,1.6080821992394443,0.8835823383118739,0.8831289034560719,2.234588128868583,0.8940909739344539,1000
4.4,P1,False,,,,,,,,,,,,,,,,,,0
4.4,P2,True,0.35,1.2,1.0,1.0,1.0,0.3625703197687157,0.5891941114317535,46.217958516585924,0.99286664849975,0.9911137601136133,1.0,0.38576607231878424,1.1378831887975094,0.9307521379505338,0.9679819902196323,46.50204942567683,0.9317443438966496,1000
4.4,P3,True,0.35,1.2,1.0,1.0,0.75,0.30746634982988597,0.5068726388578229,2.063001452493992,0.8273888737497918,0.8259281334280111,1.0,0.523589625392997,1.5432821242954562,0.8756481680117041,0.8856605176457016,2.441789331281871,0.8857900287727234,1000
4.5,P1,False,,,,,,,,,,,,,,,,,,0
4.5,P2,False,,,,,,,,,,,,,,,,,,0
4.5,P3,True,0.35,1.2,1.0,1.0,0.75,0.312767376835404,0.5185035130970282,2.332934869578132,0.8461931663350142,0.8446992273695567,1.0,0.4928567744448656,1.480326868341114,0.8683229323909596,0.8888738834673986,2.7033052399485022,0.8779408362158968,1000
4.6,P1,False,,,,,,,,,,,,,,,,,,0
4.6,P2,False,,,,,,,,,,,,,,,,,,0
4.6,P3,True,0.35,1.2,1.0,1.0,0.75,0.31809020414645994,0.5304348301364403,2.679217527289837,0.8649974589202366,0.8634703213111022,1.0,0.4688753975148356,1.4330746297113575,0.8615684650160252,0.8927536707161505,3.041536367869547,0.8700718433524052,1000
4.7,P1,False,,,,,,,,,,,,,,,,,,0
4.7,P2,False,,,,,,,,,,,,,,,,,,0
4.7,P3,True,0.35,1.2,1.0,1.0,0.5,0.26421006324168783,0.4511158918633802,1.1930035443264897,0.7070414012043673,0.7057931322021185,1.0,0.6329560582190664,1.9503747711132646,0.7961249568587091,0.8057258209413944,1.724918437943511,0.8061972805998673,1000
4.8,P1,False,,,,,,,,,,,,,,,,,,0
4.8,P2,False,,,,,,,,,,,,,,,,,,0
4.8,P3,True,0.35,1.2,1.0,1.0,0.5,0.2681919073070727,0.4604381208936592,1.2657479295939784,0.7220848352725454,0.7208100073553549,1.0,0.6199565578866881,1.9116293373919495,0.7890252406404061,0.8076603431158814,1.786581262927312,0.7989641628598175,1000
5.0,P1,False,,,,,,,,,,,,,,,,,,0
5.0,P2,False,,,,,,,,,,,,,,,,,,0
