p_LoS,kappa,p1_feasible,p3_feasible,alpha,B_UH_MHz,a1,a2,a3,rho_U,rho_H,AWSS_soft_P1,AWSS_soft_P3,AWSS_gain_abs,AWSS_gain_pct,self_throttling_active
0.7181818181818181,3.25,False,True,0.35,1.2,1.0,1.0,1.0,0.733367410823679,0.7208745932614692,,1.8682517322046979,,,False
0.7954545454545454,3.25,False,True,0.35,1.2,1.0,1.0,1.0,0.733367410823679,0.6732827938115131,,2.0787941325963795,,,False
0.8727272727272727,3.25,False,True,0.35,1.2,1.0,1.0,1.0,0.733367410823679,0.6256909943615572,,2.2785994821040405,,,False
0.95,3.25,False,True,0.35,1.2,1.0,1.0,1.0,0.733367410823679,0.578099194911601,,2.4703591612505997,,,False
0.1,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.7908987612336231,,1.1033184859597345,,,True
0.17727272727272728,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.7567302898336546,,1.223343675170068,,,True
0.2545454545454545,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.7225618184336862,,1.3411370539997893,,,True
0.3318181818181818,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.6883933470337176,,1.4559197853340693,,,True
0.40909090909090906,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.6542248756337492,,1.5677498196488715,,,True
0.48636363636363633,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.6200564042337807,,1.676926146298721,,,True
0.5636363636363636,3.5,False,True,0.35,1.0,1.0,1.0,0.75,0.7897802885793466,0.5858879328338122,,1.7837884008041216,,,True
0.6409090909090909,3.5,False,True,0.35,1.2,1.0,1.0,1.0,0.7897802885793466,0.8275791921507658,,1.438950537717138,,,False
0.7181818181818181,3.5,False,True,0.35,1.2,1.0,1.0,1.0,0.7897802885793466,0.7763264850508131,,1.693740134170508,,,False
0.7954545454545454,3.5,False,True,0.35,1.2,1.0,1.0,1.0,0.7897802885793466,0.7250737779508604,,1.9314368673508613,,,False
0.8727272727272727,3.5,False,True,0.35,1.2,1.0,1.0,1.0,0.7897802885793466,0.6738210708509077,,2.153818292796616,,,False
0.95,3.5,False,True,0.35,1.2,1.0,1.0,1.0,0.7897802885793466,0.6225683637509549,,2.3647327966617366,,,False
0.1,3.75,False,True,0.35,1.0,1.0,1.0,0.5,0.6769545330680113,0.677913223914534,,1.492580856774264,,,True
0.17727272727272728,3.75,False,True,0.35,1.0,1.0,1.0,0.5,0.6769545330680113,0.6486259627145611,,1.5909172213792255,,,True
