B_UH_MHz,B_HG_MHz,P_weighted_delay,rho_U,rho_H,rho_gap_abs,T1_E2E_s,T2_E2E_s,T3_E2E_s,is_grid_dense_optimal
0.5420100502512564,1.4579899497487439,3.7441900702768045,0.6494646308351365,0.12359653224625666,0.5258680985888798,0.38324769660377533,0.6034423819040432,1.3875622166573927,False
0.551859296482412,1.448140703517588,3.6230776425293407,0.6378733844643765,0.1244371499268822,0.5134362345374943,0.37341249009092664,0.5879581378078015,1.3269238966409578,False
0.5617085427135678,1.4382914572864323,3.511070222838642,0.6266886301831975,0.12528928050425864,0.5013993496789388,0.36408116052677325,0.5733259473357076,1.2721748465869067,False
0.5715577889447236,1.4284422110552764,3.407139798274968,0.6158893536300142,0.12615316212597238,0.4897361915040418,0.3552203907132091,0.5594836964276003,1.2225112332801402,False
0.5814070351758793,1.4185929648241205,3.310418076923148,0.6054559644068956,0.12702903955341452,0.47842692485348115,0.34679967105521303,0.5463750888727144,1.1772688860120801,False
0.5912562814070352,1.4087437185929648,3.2201654142935463,0.595370177476439,0.12791716439298323,0.4674530130834558,0.33879101990036203,0.5339489970468192,1.1358943604988219,False
0.601105527638191,1.398894472361809,3.1357468951404868,0.5856149062186742,0.12881779533705334,0.45679711088162084,0.33116873610380804,0.5221588966716747,1.097922893485713,False
0.6109547738693467,1.3890452261306532,3.0566136950738834,0.5761741658321913,0.1297311984151976,0.4464429674169937,0.32390917963434,0.5109623733139598,1.0629614095429438,False
0.6208040201005025,1.3791959798994975,2.982288391711334,0.567032985930693,0.1306576472561718,0.43637533867452116,0.3169905766403158,0.5003206903358254,1.0306752811187356,False
0.6306532663316583,1.3693467336683418,2.912353267723745,0.5581773313297036,0.131597423361207,0.4265799079684966,0.3103928459021913,0.4901984096491083,1.000777910718954,False
0.6405025125628141,1.359497487437186,2.846440906825025,0.5495940301418313,0.13255081638918056,0.41704321375265074,0.3040974440273928,0.48056305797856436,0.9730224587857182,False
0.6503517587939699,1.3496482412060302,2.7842265660480185,0.5412707084057937,0.133518124454274,0.4077525839515197,0.2980872271066826,0.4713848324605869,0.9471952198067968,False
0.6602010050251257,1.3397989949748745,2.7254219378728957,0.5331957305668885,0.13449965443675982,0.3986960761301287,0.2923463268598423,0.46263634033597756,0.9231102766214139,False
0.6700502512562814,1.3299497487437184,2.669770009993001,0.5253581452068232,0.1354957223075981,0.3898624228992251,0.2868600395613794,0.45429236827304054,0.9006051547627814,False
0.6798994974874372,1.3201005025125627,2.6170407994830973,0.5177476354905973,0.1365066534675634,0.3812409820230339,0.2816147262614513,0.4463296775083475,0.8795372656820485,False
0.6897487437185931,1.310251256281407,2.5670277891976463,0.5103544738589378,0.13753278310166797,0.3728216907572699,0.2765977230093475,0.43872682153935366,0.8597809770908962,False
0.6995979899497488,1.3004020100502511,2.5195449324186185,0.5031694805478941,0.13857445654969053,0.3645950239982036,0.27179725995177956,0.4314639835637825,0.8412251854357147,False
0.7094472361809046,1.2905527638190954,2.474424120615594,0.4961839855636621,0.13963202969367228,0.35655195586998983,0.26720238832005705,0.4245228312500638,0.8237712931552953,False
0.7192964824120603,1.2807035175879398,2.4315130311630107,0.4893897937814574,0.1407058693632932,0.3486839244181642,0.26280291444251874,0.41788638675313294,0.8073315143291888,False
0.729145728643216,1.2708542713567839,2.390673288756544,0.48277915287303796,0.1417963537600985,0.3409827991129395,0.2585893400242427,0.4115389101704052,0.7918274483430054,False
0.7389949748743719,1.2610050251256282,2.3517788873644436,0.47634472379897874,0.1429038729016056,0.33344085089737313,0.25455280802755953,0.405465794871827,0.7771888735381108,False
0.7488442211055277,1.2511557788944725,2.3147148297738944,0.4700795536295652,0.14402882908638814,0.3260507245431771,0.2506850535662922,0.39965347334222123,0.7633527223905752,False
0.7586934673366834,1.2413065326633164,2.279375949833843,0.4639770504826985,0.14517163738130076,0.31880541310139776,0.2469783592956878,0.3940893323491935,0.7502622072483927,False
0.7685427135678392,1.2314572864321607,2.2456658888637233,0.45803096038889646,0.14633272613208564,0.3116982342568108,0.24342551484016853,0.38876163640022654,0.7378660715427644,False
0.778391959798995,1.221608040201005,2.2134962027731033,0.45223534591270376,0.1475125374986792,0.30472280841402455,0.24001977985355216,0.38365945858204503,0.7261179460483567,False
0.7882412060301508,1.211758793969849,2.182785580507823,0.4465845663768826,0.14871152801662485,0.29787303836025775,0.2367548503523365,0.37877261798706313,0.7149757934766874,False
0.7980904522613066,1.2019095477386934,2.153459157721868,0.44107325955092436,0.14993016918608962,0.29114309036483477,0.23362482800290904,0.3740916230283732,0.7044014276563945,False
0.8079396984924623,1.1920603015075377,2.1254479122380148,0.43569632467892666,0.15116894809008058,0.2845273765888461,0.23062419207889945,0.36960762002852815,0.6943600959442601,False
0.8177889447236181,1.1822110552763818,2.0986881300327154,0.43044890673391806,0.15242836804356422,0.2780205386903538,0.2277477738359932,0.3653123465401735,0.6848201154443885,False
0.8276381909547739,1.1723618090452261,2.0731209322614665,0.4253263817964651,0.15370894927530612,0.271617432521159,0.22499073307893666,0.3611980889199848,0.6757525551846869,False
0.8374874371859297,1.1625125628140704,2.048691855307738,0.42032434346500547,0.15501122964437153,0.26531311382063394,0.22234853671966093,0.3572576437326831,0.6671309576833888,False
0.8473366834170855,1.1526633165829145,2.0253504770524478,0.41543859021395935,0.15633576539335997,0.2591028248205994,0.21981693914685962,0.35348428261028475,0.6589310943912993,False
0.8571859296482413,1.1428140703517586,2.0030500835700624,0.4106651136233897,0.1576831319405897,0.2529819816828,0.21739196424632287,0.34987172023412333,0.6511307503628473,False
0.8670351758793969,1.132964824120603,1.9817473712998588,0.4060000874109066,0.15905392471360288,0.2469461626973037,0.21506988892816903,0.34641408514441474,0.6437095342265223,False
0.8768844221105527,1.123115577889447,1.9614021804471355,0.40143985720273817,0.16044876002652758,0.2409910971762106,0.21284722803209252,0.3431058931148818,0.6366487101210945,False
0.8867336683417086,1.1132663316582914,1.941977255963689,0.3969809309865001,0.16186827600401246,0.23511265498248765,0.210720720495098,0.33994202285884445,0.6299310487607063,False
0.8965829145728643,1.1034170854271357,1.9234380329591703,0.39261997019323963,0.16331313355464483,0.2293068366385948,0.20868731667810647,0.336917693858698,0.6235406952074547,False
0.9064321608040201,1.0935678391959798,1.9057524438210836,0.3883537813608927,0.1647840173969714,0.2235697639639213,0.20674416675848975,0.33402844613330873,0.617463051278997,False
0.9162814070351759,1.083718592964824,1.888890744683977,0.38417930833540537,0.16628163714146768,0.2178976711939377,0.20488861010515505,0.3312701217779174,0.611684670812677,False
0.9261306532663316,1.0738693467336684,1.87282535919839,0.38009362496949445,0.16780672843204916,0.21228689653744529,0.20311816556140366,0.32863884812899424,0.6061931662561906,False
0.9359798994974875,1.0640201005025125,1.8575307378160324,0.3760939282823892,0.1693600541509819,0.20673387413140729,0.201430522568537,0.3261310224224069,0.6009771252656075,False
0.9458291457286433,1.0541708542713568,1.8429832310365781,0.3721775320469547,0.17094240569133812,0.20123512635561658,0.1998235330701965,0.3237432978275136,0.5960260361709614,False
0.955678391959799,1.044321608040201,1.8291609752592088,0.3683418607733612,0.17255460430145755,0.19578725647190362,0.1982952041437696,0.3214725707525582,0.5913302213227837,False
0.9655276381909548,1.0344723618090452,1.8160437900535844,0.36458444406098584,0.17419750250621258,0.19038694155477326,0.1968436913109785,0.3193159693282454,0.5868807774641582,False
0.9753768844221107,1.0246231155778893,1.8036130858142851,0.3609029112925184,0.1758719856102448,0.18503092568227358,0.19546729248504338,0.3172708429867531,0.5826695223856488,False
0.9852261306532664,1.0147738693467336,1.7918517808933552,0.35729498664632164,0.17757897328874375,0.1797160133575779,0.1941644425166518,0.3153347530628478,0.5786889472177041,False
0.9950753768844222,1.004924623115578,1.7807442274202643,0.3537584844049985,0.17931942127177175,0.17443906313322677,0.1929337083054228,0.3135054643523352,0.5749321737993256,False
1.004924623115578,0.995075376884422,1.7702761451198308,0.35029130453984303,0.1810943231286179,0.16919698141122513,0.1917737844476862,0.31178093757091874,0.5713929166349347,False
1.0147738693467336,0.9852261306532664,1.7604345625283875,0.34689142855243055,0.18290471215918044,0.1639867163932501,0.19068348939524155,0.3101593226637437,0.5680654490151756,False
1.0246231155778895,0.9753768844221105,1.7512077650885902,0.34355691555604617,0.18475166339994287,0.1588052521561033,0.18966176210337052,0.3086389529225806,0.5649445729333172,False
1.0344723618090452,0.9655276381909547,1.7425852496751448,0.3402858985809667,0.18663629575272675,0.15364960282823995,0.1887076591497836,0.30721833987381664,0.5620255924781608,False
1.044321608040201,0.955678391959799,1.734557685168765,0.3370765810888164,0.18855977424507786,0.14851680684373852,0.18782035230942495,0.3058961689062616,0.559304290427967,False
1.054170854271357,0.9458291457286431,1.7271168787549245,0.3339272336823234,0.19052331243188247,0.14340392125044094,0.18699912657317752,0.3046712956133034,0.5567769078087852,False
1.0640201005025127,0.9359798994974874,1.7202557476784812,0.33083619099781714,0.19252817494861438,0.13830801604920276,0.1862433786015275,0.30354274282922866,0.5544401262154413,False
1.0738693467336684,0.9261306532663316,1.713968296235878,0.327801848768731,0.19457568022750363,0.13322616854122735,0.1855526156072071,0.3025096983446232,0.5522910527250104,False
1.083718592964824,0.9162814070351759,1.7082495978341643,0.3248226610492341,0.19666720338888288,0.1281554576603512,0.1849264546637548,0.3015715132907377,0.5503272072614246,False
1.09356783919598,0.90643216080402,1.7030957819912869,0.32189713758789545,0.19880417932103844,0.12309295826685701,0.18436462243985996,0.30072770118761,0.548546512296487,False
1.1034170854271357,0.8965829145728643,1.6985040261955922,0.3190238413420067,0.20098810596305858,0.1180357353789481,0.1838669553623065,0.29997793765562575,0.546947284797421,False
1.1132663316582914,0.8867336683417086,1.694472552584952,0.3162013861238504,0.20322054780646553,0.11298083831738487,0.18343340021334884,0.29932206079513846,0.5455282303546285,False
1.1231155778894473,0.8768844221105526,1.691000629447955,0.3134284343708179,0.20550313963283048,0.10792529473798743,0.18306401517146426,0.29876007224381185,0.5442884394459383,False
1.132964824120603,0.8670351758793969,1.6880885775917867,0.31070369503183626,0.2078375905061372,0.10286610452569905,0.18275897130766605,0.2982921389265504,0.5432273858156877,False
1.1428140703517586,0.8571859296482413,1.6857377816644243,0.30802592156308956,0.21022568804038522,0.09780023352270434,0.18251855455297528,0.2979185955183232,0.542344926968852,False
